"yr","CA.Ntows","CA.Nfish","OR.Ntows","OR.Nfish","WA.Ntows","WA.Nfish","AllLandings.Ntows","AllLandings.Nfish","Discard.Ntows","Discard.Nfish"
1995,0,0,6,55,0,0,6,55,0,0
1996,0,0,3,8,0,0,3,8,0,0
1997,0,0,1,14,0,0,1,14,0,0
1998,0,0,1,2,0,0,1,2,0,0
1999,0,0,1,8,0,0,1,8,0,0
2000,0,0,0,0,0,0,0,0,0,0
2001,0,0,3,43,0,0,3,43,0,0
2002,0,0,6,199,0,0,6,199,0,0
2003,0,0,9,202,0,0,9,202,0,0
2004,0,0,2,27,2,12,4,39,0,0
2005,0,0,7,123,6,87,13,210,0,0
2006,0,0,13,310,15,191,28,501,0,0
2007,1,1,10,128,9,172,20,301,0,0
2008,0,0,10,94,8,94,18,188,0,0
2009,8,32,17,234,1,18,26,284,0,0
2010,2,8,15,186,0,0,17,194,149,349
2011,2,2,29,418,4,9,35,429,554,1518
2012,3,43,24,477,3,38,30,558,544,1405
2013,11,201,11,252,8,168,30,621,443,987
2014,15,217,11,237,5,249,31,703,676,1625
2015,25,237,21,411,2,5,48,653,688,1557
2016,14,181,34,444,7,98,55,723,652,1456
2017,14,239,50,668,12,47,76,954,508,1248
2018,15,133,46,552,14,98,75,783,0,0
