Year,CA.Ntows,CA.Nfish,OR.Ntows,OR.Nfish,WA.Ntows,WA.Nfish,AllLandings.Ntows,AllLandings.Nfish,Discard.Ntows,Discard.Nfish
Lengths,,,,,,,,,,
1995,,,6,55,,,6,55,,
1996,,,3,8,,,3,8,,
1997,,,1,14,,,1,14,,
1998,,,1,2,,,1,2,,
1999,,,1,8,,,1,8,,
2000,,,,,,,,,,
2001,,,3,43,,,3,43,,
2002,,,6,199,,,6,199,,
2003,,,9,202,,,9,202,,
2004,,,2,27,2,12,4,39,,
2005,,,7,123,6,87,13,210,,
2006,,,13,310,15,191,28,501,,
2007,1,1,10,128,9,172,20,301,,
2008,,,10,94,8,94,18,188,,
2009,8,32,17,234,1,18,26,284,,
2010,2,8,15,186,,,17,194,149,349
2011,2,2,29,418,4,9,35,429,554,1518
2012,3,43,24,477,3,38,30,558,544,1405
2013,11,201,11,252,8,168,30,621,443,987
2014,15,217,11,237,5,249,31,703,676,1625
2015,25,237,21,411,2,5,48,653,688,1557
2016,14,181,34,444,7,98,55,723,652,1456
2017,14,239,50,668,12,47,76,954,508,1248
2018,15,133,46,552,14,98,75,783,,
,,,,,,,,,,
Ages,,,,,,,,,,
2004,,,,,2,11,2,11,,
2008,,,8,80,,,8,80,,
2009,,,10,87,8,65,18,152,,
2010,,,10,102,,,10,102,,
2011,,,21,202,,,21,202,,
2012,,,12,120,,,12,120,,
2018,,,6,39,13,93,19,132,,
