"year","Tri.VAST.obs","Tri.VAST.se_log","Tri.design","Tri.design.se_log","WCGBTS.VAST.obs","WCGBTS.VAST.se_log","WCGBTS.design","WCGBTS.design.se_log"
1980,468,0.527,747,0.532,NA,NA,NA,NA
1983,912,0.3,1339,0.349,NA,NA,NA,NA
1986,997,0.288,1914,0.474,NA,NA,NA,NA
1989,1432,0.219,1767,0.215,NA,NA,NA,NA
1992,2426,0.198,2722,0.187,NA,NA,NA,NA
1995,497,0.257,807,0.264,NA,NA,NA,NA
1998,2438,0.199,3324,0.202,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA
2001,1670,0.228,2671,0.223,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,8171,0.197,8049,0.151
2004,3674,0.192,5404,0.173,14349,0.18,15035,0.177
2005,NA,NA,NA,NA,12123,0.157,11576,0.143
2006,NA,NA,NA,NA,9274,0.179,8559,0.161
2007,NA,NA,NA,NA,8137,0.179,7747,0.163
2008,NA,NA,NA,NA,5495,0.21,5534,0.205
2009,NA,NA,NA,NA,10721,0.174,10025,0.148
2010,NA,NA,NA,NA,11475,0.138,12097,0.13
2011,NA,NA,NA,NA,8030,0.16,8646,0.153
2012,NA,NA,NA,NA,11594,0.162,11512,0.158
2013,NA,NA,NA,NA,11522,0.168,12100,0.157
2014,NA,NA,NA,NA,19856,0.129,18998,0.114
2015,NA,NA,NA,NA,19251,0.129,19056,0.117
2016,NA,NA,NA,NA,17142,0.146,16733,0.193
2017,NA,NA,NA,NA,13237,0.142,13779,0.132
2018,NA,NA,NA,NA,14569,0.143,14836,0.121
